text,emotion,bias/distortion,context,feedback/insight,behavioral_recommendation,progress_tracking,motivation,perception,habit,social_influence,attention,memory,trust,past_experience,decision_making,adaptive_behavior,identity,situational_trigger,cultural
"""I got distracted during sex - my partner must be disappointed.""","Anxiety, Shame","Mind-reading, Catastrophizing",Intimacy,"""Mind wandering is common. Most partners understand - intimacy ebbs and flows.""","""Practice returning focus gently without self-judgment.""","""Reducing performance anxiety""",Fear of inadequacy,"Hypervigilance to ""flaws""",Avoidance,Pornographic standards,Body monitoring,"Recalls only ""failures""",Medium (partner),Sexual shame,People-pleasing,Withdrawal,"""I'm broken""",Stressful periods,Sex-perfectionism
"""I didn't cry during the sad movie - have I become heartless?""","Confusion, Self-doubt","Should statements, Emotional reasoning",Emotional expression,"""Tears aren't the only measure of empathy. Many feel deeply without visible cues.""","""Notice other empathy signs: tightened throat, helping urges, etc.""","""Broadening emotional awareness""",Self-judgment,Narrow emotion definition,Suppression,Dramatic displays,"Scanning for ""right"" reactions",Recalls atypical responses,Low (self),Emotional invalidation,Intellectualizing,Bottling,"""I'm cold""",Tearjerker films,Emotional performativity
"""I checked my retirement account and panicked - I'll die poor.""","Terror, Helplessness","Catastrophizing, Fortune-telling",Financial security,"""Markets fluctuate. This single snapshot doesn't predict decades of growth potential.""","""Schedule monthly (not daily) financial check-ins to reduce anxiety.""","""Building financial resilience""",Safety-seeking,Threat magnification,Compulsive checking,Doomsday headlines,Hyperfocus on losses,Recalls crashes,Low (system),Family poverty,Avoidance,Hoarding,"""I'm financially doomed""",Market dips,American Dream
"""My chronic pain is worse today - this is my new normal forever.""","Despair, Resignation","Permanence bias, Emotional reasoning",Health condition,"""Symptoms naturally fluctuate. Today's pain doesn't dictate tomorrow's experience.""","""Track symptoms with a 1-10 scale to notice variability.""","""Reducing pain catastrophizing""",Hopelessness,Tunnel vision,Activity avoidance,Medical gaslighting,Body scanning,Recalls worst days,Low (body),Diagnostic delays,All-or-nothing resting,Boom-bust cycles,"""I'm my illness""",Flare-ups,Biomedical model
"""I can't keep up with all the injustice - nothing I do matters.""","Overwhelm, Guilt","All-or-nothing thinking, Magnification",Activism fatigue,"""Social change requires many small actions. Your capacity matters more than intensity.""","""Choose 1 sustainable action weekly (e.g., letters, donations).""","""Pace for the marathon""",Moral urgency,Responsibility distortion,Burnout cycles,Callout culture,"Hyperfocus on ""not enough""",Recalls systemic failures,Low (impact),Activist trauma,Avoidance,Overcommit-crash,"""I'm complicit""",News cycles,Savior complex
"""I had a spiritual dry spell - maybe I'm not truly enlightened.""","Doubt, Shame","All-or-nothing thinking, Should statements",Spiritual practice,"""All paths have ebbs and flows. The seeking itself is the practice.""","""Try 5 minutes of silent sitting without expectations.""","""Non-attachment to peaks""",Perfectionism,Progress as linear,Abandoning practice,Guru myths,"Scanning for ""signs""",Recalls only highs,Low (self),Religious trauma,Seeking quick fixes,Spiritual bypassing,"""I'm a fraud""",Retreat comparisons,Instant-enlightenment
"""My joke offended someone - I'm a terrible person.""","Shame, Regret","Labeling, Magnification",Social misstep,"""Good people sometimes miss the mark. What matters is your willingness to learn.""","""Practice repair: 'I didn't intend harm, but I see the impact. Thank you.'""","""Navigating social repair""",Fear of rejection,Mistake as identity,Over-apologizing,Cancel culture,Hyperfocus on reaction,Recalls past missteps,Low (self),Punitive upbringing,People-pleasing,Withdrawal,"""I'm toxic""",Diverse groups,Callout culture
"""I slept through my workout - my discipline is gone.""","Self-loathing, Frustration","All-or-nothing thinking, Labeling",Fitness routine,"""Rest is part of fitness. One missed session doesn't undo months of progress.""","""Reframe: 'My body needed recovery today.'""","""Flexible discipline""",Perfectionism,Worth = perfect attendance,Quitting streaks,Fitness influencers,"Focus on ""broken"" streaks",Recalls only misses,Low (self),Athletic punishment,Overcompensation,Injury cycles,"""I'm lazy""",Rest days,Grind culture
"""I'm not protesting enough - I must not really care.""","Guilt, Self-doubt","Should statements, Mind-reading",Social justice,"""Change requires diverse roles. Your unique contributions matter (donating, educating, etc).""","""List 3 ways you contribute beyond street protests.""","""Expanding activism""",Moral anxiety,Narrow definitions,Burnout,Radical peer pressure,"Scanning for ""not enough""",Recalls only inaction,Low (self),Privilege guilt,Overcommitment,Avoidance,"""I'm performative""",Movement events,Martyr glorification
"""My partner didn't text goodnight - the relationship is failing.""","Anxiety, Abandonment","Catastrophizing, Mind-reading",Romantic attachment,"""Healthy couples don't need constant contact. Recall evidence of their care.""","""Practice self-soothing: 'I'm okay whether or not we text.'""","""Building secure attachment""",Fear of loss,Hypervigilance to absence,Protest behaviors,Romantic ideals,"Scanning for ""proof""",Recalls past abandonments,Medium (partner),Inconsistent parenting,Clinginess,Testing,"""I'm too needy""",Stressful days,Soulmate culture
"""I didn't finish my to-do list - today was worthless.""","Frustration, Defeat","Disqualifying positives, All-or-nothing thinking",Productivity,"""Partial progress still moves you forward. Most lists are unrealistically long.""","""List 3 things you did accomplish (including rest).""","""Reducing productivity guilt""",Perfectionism,Time as moral ledger,Over-scheduling,Hustle culture,Focus on unfinished,Filters out completions,Low (self),Conditional praise,Overplanning,Burnout,"""I'm lazy""",Evening review,Protestant ethic
"""My friend didn't ask about my job search - they don't care.""","Hurt, Resentment","Mind-reading, Personalization",Unemployment stress,"""People often avoid sensitive topics to be polite, not uncaring.""","""Try directly sharing: 'I'd love to update you about my search.'""","""Practicing direct communication""",Isolation,Rejection sensitivity,Withdrawal,Taboo topics,Hyperfocus on omissions,Recalls past disappointments,Medium (friend),Job loss stigma,Passive,Testing,"""I'm invisible""",Career updates,Success obsession
"""I gained 5 pounds - I've completely let myself go.""","Disgust, Shame","Magnification, Labeling",Body image,"""Weight fluctuates naturally. This small change doesn't define your health or worth.""","""Wear comfortable clothes and focus on how your body feels today.""","""Developing body neutrality""",Self-loathing,Body as moral failing,Restrictive eating,Diet culture,Body scanning,"Recalls ""worst"" weights",Low (body),Weight stigma,Yo-yo dieting,Binging,"""I'm my weight""",Doctor visits,Thin ideal
"""I enjoyed a mainstream movie - does that make me basic?""","Guilt, Confusion","Should statements, Labeling",Cultural taste,"""Liking popular things doesn't diminish you. Authentic enjoyment is its own sophistication.""","""Practice unapologetically enjoying one 'guilty pleasure.'""","""Cultivating taste confidence""",Status anxiety,Preferences as identity,Pretentiousness,Hipster elitism,"Scanning for ""uncool"" likes",Recalls cultural judgments,Low (self),Artsy peer group,Conformity,Overcompensation,"""I'm a poser""",Film discussions,Cultural capital
"""I'm not grieving 'correctly' - something must be wrong with me.""","Confusion, Isolation","Should statements, Comparison",Bereavement,"""There's no timeline or 'right way' to grieve. Your process is uniquely yours.""","""Create a memory ritual that feels authentic (planting, writing, etc).""","""Honoring personal grief""",Self-doubt,Narrow grief expectations,Suppression,Grief stereotypes,"Scanning for ""appropriate"" sadness",Recalls atypical reactions,Low (self),Dismissed emotions,Intellectualizing,Numbing,"""I'm broken""",Funerals,Grief performativity
"""I got distracted in prayer - I'm a spiritual failure.""","Shame, Frustration","Perfectionism, Should statements",Religious practice,"""Wandering attention is human. The return to focus is the practice itself.""","""Try shorter, more frequent practices instead of marathon sessions.""","""Gentle persistence""",Devotional anxiety,Practice as binary,Avoidance,Saintly ideals,"Hyperfocus on ""lapses""",Recalls only distracted sessions,Low (self),Punitive religious upbringing,Overcompensation,Guilt cycles,"""I'm unworthy""",Holy days,Religious perfectionism
"""My child prefers my partner - I'm a terrible parent.""","Heartbreak, Inadequacy","Personalization, Emotional reasoning",Parenting insecurity,"""Children's preferences fluctuate daily and don't reflect your worth. You're still loved.""","""Initiate 1:1 time doing their favorite activity without pressure.""","""Building secure connections""",Rejection fear,Love as competition,Overcompensating,Parenting forums,"Hyperfocus on ""rejection""",Recalls only distance,Medium (child),Conditional love,People-pleasing,Resentment,"""I'm unlovable""",Bedtime struggles,Intensive parenting
"""I'm homesick but can't admit it - digital nomads shouldn't need roots.""","Loneliness, Shame","Should statements, Emotional inhibition",Location independence,"""Humans are wired for belonging. Even travelers need connection - this isn't failure.""","""Create small rituals that ground you (local café, weekly calls home).""","""Honoring attachment needs""",Fear of judgment,Needs as weakness,Suppression,#VanLife ideal,"Scanning for ""weakness""",Recalls only adventurous moments,Low (self),Family criticism,Avoidance,Overcompensation,"""I'm a fraud""",Time zone changes,Rugged individualism
"""My climate anxiety is paralyzing - but complaining makes me privileged.""","Guilt, Overwhelm","Comparative suffering, Emotional reasoning",Eco-distress,"""Your valid feelings don't negate others' pain. Anxiety can fuel action when managed.""","""Channel energy into one local environmental project.""","""Turning anxiety into agency""",Moral conflict,Emotions as luxury,Avoidance,Oppression Olympics,"Hyperfocus on ""not enough""",Recalls only privilege,Low (impact),Survival guilt,Paralysis,Numbing,"""I'm part of the problem""",Extreme weather,Activist purity
"""I felt jealous of my metamour - does this mean polyamory isn't for me?""","Shame, Confusion","Labeling, All-or-nothing thinking",Consensual non-monogamy,"""Jealousy is data, not destiny. Even experienced poly folks process these feelings.""","""Explore the jealousy: What need feels unmet? (security, quality time, etc)""","""Developing compersion""",Fear of failure,Emotion as identity,Suppression,Poly perfectionism,"Scanning for ""wrong"" feelings",Recalls only struggles,Medium (self),Monogamous conditioning,Avoidance,People-pleasing,"""I'm not evolved enough""",New connections,Relationship escalator
